product_name,price,old_price,discount,product_url,image_url,rating
, 15000,,,https://www.jumia.co.ke/hp-refurbished-prodesk-600-g1-twr-intel-core-i3-4gb-ddr3-ram-250gb-sata-hdd-windows-10-312671060.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/0176213/1.jpg?4050,
, 20000,,,https://www.jumia.co.ke/lenovo-refurbished-thinkpad-x1-carbon-3th-gen.-intelr-coretm-i5-5200u-14-fhd-display-4gb-ram-128gb-ssd-windows-10-pro-312651478.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/4156213/1.jpg?4393,
, 52000,,,https://www.jumia.co.ke/hp-refurbished-elitebook-840-g7-14-fhd-intel-core-i7-intel-uhd-graphics-8gb-ram-256gb-ssd-windows-11-pro-312651613.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6156213/1.jpg?5734,
, 38000,,,https://www.jumia.co.ke/hp-refurbished-elitebook-x360-1030-g2-7th-gen-intel-core-i5-13.3-touchscreen-8gb-ram-256gb-ssd-windows-11-pro-312651490.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/4156213/1.jpg?8716,
, 60000,,,https://www.jumia.co.ke/hp-refurbished-elitebook-x360-1040-g7-intel-core-i7-14-touchscreen-16gb-ram-512gb-ssd-windows-11-pro-312651503.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/5156213/1.jpg?6794,
, 29000,,,https://www.jumia.co.ke/apple-refurbished-macbook-air-a1466-13-inch-early-2015-intel-core-i5-8gb-ram-512gb-ssd-intel-hd-graphics-312651475.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/4156213/1.jpg?1605,
, 42000,,,https://www.jumia.co.ke/hp-refurbished-probook-x360-435-g7-amd-ryzen-5-4500u-13.3-touchscreen-8gb-ram-256gb-ssd-windows-11-pro-312651486.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/4156213/1.jpg?3066,
, 185000,,,https://www.jumia.co.ke/asus-tuf-gaming-a15-2023-90nr0jp5-m00400-15.6-fhdamd-ryzentm-7-7435hs144hz-refresh-rate16gb-ddr51tb-ssdgeforce-rtxtm-4060windows-11-home-jaegar-gray1yr-wrty-312669825.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/8966213/1.jpg?2089,
, 19000,,,https://www.jumia.co.ke/toshiba-refurbished-portege-x20w-12-inch-x360-touchscreen-intel-core-i3-7100u-8gb-ram-256gb-ssd-312651470.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/4156213/1.jpg?4201,
, 36000,,,https://www.jumia.co.ke/dell-refurbished-xps-13-9380-8th-gen-intel-core-i5-13.3-fhd-non-touch-4gb-ram-256gb-ssd-windows-11-pro-312651465.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/4156213/1.jpg?4119,
